Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00    24000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.01     0.00    24000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.01     0.00    24000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.01     0.00    24000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.01     0.00    24000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.01     0.00    23998     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.01     0.00    23996     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.01     0.00    12016     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00    12009     0.00     0.00  std::vector<Point, std::allocator<Point> >::end()
  0.00      0.01     0.00    12003     0.00     0.00  std::remove_reference<Point&>::type&& std::move<Point&>(Point&)
  0.00      0.01     0.00    12001     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00    12000     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator-(long) const
  0.00      0.01     0.00    12000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00      0.01     0.00    12000     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::a() const
  0.00      0.01     0.00    12000     0.00     0.00  Point& std::vector<Point, std::allocator<Point> >::emplace_back<Point>(Point&&)
  0.00      0.01     0.00    12000     0.00     0.00  std::vector<Point, std::allocator<Point> >::back()
  0.00      0.01     0.00    12000     0.00     0.00  std::vector<Point, std::allocator<Point> >::push_back(Point&&)
  0.00      0.01     0.00    11999     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++(int)
  0.00      0.01     0.00    11999     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.01     0.00    11999     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     6000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00     6000     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00     6000     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::b() const
  0.00      0.01     0.00     6000     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::param_type(unsigned long, unsigned long)
  0.00      0.01     0.00     6000     0.00     0.00  unsigned int std::uniform_int_distribution<unsigned long>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      0.01     0.00     6000     0.00     0.00  std::uniform_int_distribution<unsigned long>::uniform_int_distribution(unsigned long, unsigned long)
  0.00      0.01     0.00     6000     0.00     0.00  unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.01     0.00     6000     0.00     0.00  unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<unsigned long>::param_type const&)
  0.00      0.01     0.00     5999     0.00     0.00  std::pair<unsigned long, unsigned long>::pair<unsigned long, unsigned long, true>(unsigned long&&, unsigned long&&)
  0.00      0.01     0.00     5999     0.00     0.00  std::pair<unsigned long, unsigned long> std::__gen_two_uniform_ints<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.01     0.00     5999     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<unsigned long>::type>::__type, std::__strip_reference_wrapper<std::decay<unsigned long>::type>::__type> std::make_pair<unsigned long, unsigned long>(unsigned long&&, unsigned long&&)
  0.00      0.01     0.00     1248     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.01     0.00     1248     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.01     0.00     1246     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.01     0.00     1246     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.01     0.00       87     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      0.01     0.00       18     0.00     0.00  Point* std::__addressof<Point>(Point&)
  0.00      0.01     0.00       18     0.00     0.00  Point const& std::forward<Point const&>(std::remove_reference<Point const&>::type&)
  0.00      0.01     0.00       15     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       15     0.00     0.00  Point* std::__niter_base<Point*>(Point*)
  0.00      0.01     0.00       14     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >::__normal_iterator(Point const* const&)
  0.00      0.01     0.00       12     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      0.01     0.00       11     0.00     0.00  std::__new_allocator<Point>::~__new_allocator()
  0.00      0.01     0.00       10     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&)
  0.00      0.01     0.00        9     0.00     0.00  std::vector<Point, std::allocator<Point> >::begin()
  0.00      0.01     0.00        9     0.00     0.00  void std::_Construct<Point, Point const&>(Point*, Point const&)
  0.00      0.01     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00        7     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00        7     0.00     0.00  std::vector<Point, std::allocator<Point> >::max_size() const
  0.00      0.01     0.00        7     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_allocate(unsigned long)
  0.00      0.01     0.00        7     0.00     0.00  std::__new_allocator<Point>::deallocate(Point*, unsigned long)
  0.00      0.01     0.00        7     0.00     0.00  std::__new_allocator<Point>::allocate(unsigned long, void const*)
  0.00      0.01     0.00        6     0.00     0.00  std::vector<Point, std::allocator<Point> >::end() const
  0.00      0.01     0.00        6     0.00     0.00  std::vector<Point, std::allocator<Point> >::begin() const
  0.00      0.01     0.00        6     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_deallocate(Point*, unsigned long)
  0.00      0.01     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > std::__miter_base<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        6     0.00     0.00  Point* std::__niter_base<Point*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        6     0.00     0.00  Point const* std::__niter_base<Point const*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        5     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Point*>(Point*, Point*)
  0.00      0.01     0.00        5     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00        5     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.01     0.00        5     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base()
  0.00      0.01     0.00        5     0.00     0.00  std::vector<Point, std::allocator<Point> >::~vector()
  0.00      0.01     0.00        5     0.00     0.00  void std::_Destroy<Point*>(Point*, Point*)
  0.00      0.01     0.00        4     0.00     0.00  std::vector<Point, std::allocator<Point> >::capacity() const
  0.00      0.01     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.01     0.00        4     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.01     0.00        4     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.01     0.00        4     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_relocate(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.01     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.01     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.01     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.01     0.00        4     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      0.01     0.00        4     0.00     0.00  Point* std::__relocate_a<Point*, Point*, std::allocator<Point> >(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.01     0.00        4     0.00     0.00  Point* std::__relocate_a_1<Point*, Point*, std::allocator<Point> >(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.01     0.00        4     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.01     0.00        4     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.01     0.00        4     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.01     0.00        4     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.01     0.00        4     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00      0.01     0.00        3     0.00     0.00  updateCentroids(std::vector<Point, std::allocator<Point> > const&, std::vector<Point, std::allocator<Point> >&)
  0.00      0.01     0.00        3     0.00     0.00  assignToClusters(std::vector<Point, std::allocator<Point> >&, std::vector<Point, std::allocator<Point> > const&)
  0.00      0.01     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::difference_type __gnu_cxx::operator-<Point*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.01     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator+(long) const
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_check_len(unsigned long, char const*) const
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Point const, Point>(Point const*, Point const*, Point*)
  0.00      0.01     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        3     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl(std::allocator<Point> const&)
  0.00      0.01     0.00        3     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_create_storage(unsigned long)
  0.00      0.01     0.00        3     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base(unsigned long, std::allocator<Point> const&)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__uninitialized_fill_n<false>::__uninit_fill_n<Point*, unsigned long, Point>(Point*, unsigned long, Point const&)
  0.00      0.01     0.00        3     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.01     0.00        3     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00      0.01     0.00        3     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      0.01     0.00        3     0.00     0.00  void std::vector<Point, std::allocator<Point> >::_M_realloc_append<Point const&>(Point const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_check_init_len(unsigned long, std::allocator<Point> const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_fill_initialize(unsigned long, Point const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::push_back(Point const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector(unsigned long, Point const&, std::allocator<Point> const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator=(std::vector<Point, std::allocator<Point> > const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> > const* std::__addressof<std::vector<Point, std::allocator<Point> > const>(std::vector<Point, std::allocator<Point> > const&)
  0.00      0.01     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, Point*>(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, Point*)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__to_address<Point>(Point*)
  0.00      0.01     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__copy_move_a1<false, Point const*, Point*>(Point const*, Point const*, Point*)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__copy_move_a2<false, Point const*, Point*>(Point const*, Point const*, Point*)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__do_uninit_fill_n<Point*, unsigned long, Point>(Point*, unsigned long, Point const&)
  0.00      0.01     0.00        3     0.00     0.00  void std::__relocate_object_a<Point, Point, std::allocator<Point> >(Point*, Point*, std::allocator<Point>&)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::uninitialized_fill_n<Point*, unsigned long, Point>(Point*, unsigned long, Point const&)
  0.00      0.01     0.00        3     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.01     0.00        3     0.00     0.00  Point* std::__uninitialized_fill_n_a<Point*, unsigned long, Point, Point>(Point*, unsigned long, Point const&, std::allocator<Point>&)
  0.00      0.01     0.00        3     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.01     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > std::copy<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        3     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_realloc_append<Point const&>(Point const&)::_Guard::_Guard(Point*, unsigned long, std::allocator<Point>&)
  0.00      0.01     0.00        3     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_realloc_append<Point const&>(Point const&)::_Guard::~_Guard()
  0.00      0.01     0.00        2     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.01     0.00        2     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl()
  0.00      0.01     0.00        2     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base()
  0.00      0.01     0.00        2     0.00     0.00  std::random_device::random_device()
  0.00      0.01     0.00        2     0.00     0.00  std::random_device::~random_device()
  0.00      0.01     0.00        2     0.00     0.00  std::random_device::operator()()
  0.00      0.01     0.00        2     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.01     0.00        2     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.00      0.01     0.00        2     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00      0.01     0.00        2     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector()
  0.00      0.01     0.00        2     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.01     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.01     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
